time,rh_out,t_out,month,hour,day_type
2021-07-05 00:00:00+08:00,63.5,28.89,7,0,0
2021-07-05 00:15:00+08:00,64.0,28.89,7,0,0
2021-07-05 00:30:00+08:00,64.0,28.89,7,0,0
2021-07-05 00:45:00+08:00,63.0,28.89,7,0,0
2021-07-05 01:00:00+08:00,63.0,29.44,7,1,0
2021-07-05 01:15:00+08:00,63.0,29.44,7,1,0
2021-07-05 01:30:00+08:00,63.0,29.44,7,1,0
2021-07-05 01:45:00+08:00,63.0,29.44,7,1,0
2021-07-05 02:00:00+08:00,63.0,29.44,7,2,0
2021-07-05 02:15:00+08:00,62.0,29.44,7,2,0
2021-07-05 02:30:00+08:00,62.0,29.44,7,2,0
2021-07-05 02:45:00+08:00,64.0,29.44,7,2,0
2021-07-05 03:00:00+08:00,64.0,29.44,7,3,0
2021-07-05 03:15:00+08:00,63.0,29.44,7,3,0
2021-07-05 03:30:00+08:00,64.0,29.44,7,3,0
2021-07-05 03:45:00+08:00,64.0,29.44,7,3,0
2021-07-05 04:00:00+08:00,64.5,29.44,7,4,0
2021-07-05 04:15:00+08:00,64.0,29.44,7,4,0
2021-07-05 04:30:00+08:00,64.0,29.72,7,4,0
2021-07-05 04:45:00+08:00,64.0,30.0,7,4,0
2021-07-05 05:00:00+08:00,64.0,30.0,7,5,0
2021-07-05 05:15:00+08:00,62.0,30.0,7,5,0
2021-07-05 05:30:00+08:00,63.0,29.44,7,5,0
2021-07-05 05:45:00+08:00,63.0,29.44,7,5,0
2021-07-05 06:00:00+08:00,63.0,29.44,7,6,0
2021-07-05 06:15:00+08:00,63.0,29.44,7,6,0
2021-07-05 06:30:00+08:00,63.0,29.44,7,6,0
2021-07-05 06:45:00+08:00,63.0,29.44,7,6,0
2021-07-05 07:00:00+08:00,63.0,29.44,7,7,0
2021-07-05 07:15:00+08:00,63.0,29.44,7,7,0
2021-07-05 07:30:00+08:00,63.0,30.0,7,7,0
2021-07-05 07:45:00+08:00,63.0,30.0,7,7,0
2021-07-05 08:00:00+08:00,61.0,29.44,7,8,0
2021-07-05 08:15:00+08:00,61.0,28.33,7,8,0
2021-07-05 08:30:00+08:00,66.0,27.5,7,8,0
2021-07-05 08:45:00+08:00,67.0,27.22,7,8,0
2021-07-05 09:00:00+08:00,68.5,27.22,7,9,0
2021-07-05 09:15:00+08:00,68.0,27.78,7,9,0
2021-07-05 09:30:00+08:00,68.0,27.78,7,9,0
2021-07-05 09:45:00+08:00,69.0,27.78,7,9,0
2021-07-05 10:00:00+08:00,67.5,28.33,7,10,0
2021-07-05 10:15:00+08:00,67.0,28.89,7,10,0
2021-07-05 10:30:00+08:00,66.5,29.165,7,10,0
2021-07-05 10:45:00+08:00,67.0,29.44,7,10,0
2021-07-05 11:00:00+08:00,64.5,29.44,7,11,0
2021-07-05 11:15:00+08:00,62.0,29.44,7,11,0
2021-07-05 11:30:00+08:00,61.5,29.44,7,11,0
2021-07-05 11:45:00+08:00,60.0,30.0,7,11,0
2021-07-05 12:00:00+08:00,60.5,30.0,7,12,0
2021-07-05 12:15:00+08:00,60.0,30.0,7,12,0
2021-07-05 12:30:00+08:00,58.5,30.56,7,12,0
2021-07-05 12:45:00+08:00,61.0,29.44,7,12,0
2021-07-05 13:00:00+08:00,60.5,29.44,7,13,0
2021-07-05 13:15:00+08:00,60.0,29.44,7,13,0
2021-07-05 13:30:00+08:00,60.0,29.44,7,13,0
2021-07-05 13:45:00+08:00,59.0,29.44,7,13,0
2021-07-05 14:00:00+08:00,58.5,29.44,7,14,0
2021-07-05 14:15:00+08:00,57.0,30.0,7,14,0
