clothing,resting_heartrate,thermal_cozie,nb_temp,user_id,t-ubi
9.0,63,10.0,31.0,enth13,33.8147
9.0,63,10.0,31.438,enth13,32.2189
9.0,63,10.0,31.188,enth13,32.5725
9.0,63,10.0,31.25,enth13,31.954
9.0,63,11.0,29.688,enth13,26.67
9.0,64,10.0,30.562,enth13,25.0
9.0,86,10.0,28.375,enth22,26.67
9.0,86,10.0,27.375,enth22,26.2
9.0,84,10.0,27.312,enth22,26.3
9.0,81,10.0,26.438,enth22,26.4
10.0,83,11.0,32.312,enth22,32.22
10.0,84,11.0,31.375,enth22,29.5895
10.0,84,11.0,30.75,enth22,29.6781
10.0,84,11.0,31.812,enth22,30.0317
10.0,84,11.0,31.375,enth22,30.3884
10.0,84,11.0,31.938,enth22,30.4614
10.0,84,11.0,31.438,enth22,30.475
10.0,84,11.0,31.875,enth22,30.2518
10.0,84,11.0,32.0,enth22,30.7253
10.0,84,11.0,32.625,enth22,30.815
10.0,84,11.0,32.562,enth22,30.6533
11.0,81,11.0,32.625,enth22,31.422
11.0,81,11.0,32.75,enth22,31.3469
11.0,81,11.0,32.625,enth22,31.422
11.0,81,11.0,33.0,enth22,31.8653
11.0,81,11.0,32.938,enth22,31.9821
11.0,81,11.0,33.125,enth22,31.7141
11.0,81,11.0,32.188,enth22,31.7308
11.0,82,11.0,32.25,enth22,31.3469
11.0,82,10.0,32.25,enth22,31.082
11.0,82,11.0,31.625,enth22,30.5783
11.0,82,11.0,32.062,enth22,30.5334
11.0,82,11.0,30.438,enth22,26.618
11.0,82,11.0,32.438,enth22,30.4166
10.0,81,11.0,30.312,enth22,30.4917
10.0,81,11.0,31.875,enth22,30.2966
10.0,81,11.0,31.312,enth22,31.11
10.0,81,11.0,30.812,enth22,28.3191
10.0,81,11.0,31.125,enth22,30.0
10.0,81,11.0,30.125,enth22,28.4808
10.0,81,11.0,30.25,enth22,28.6143
10.0,81,11.0,30.312,enth22,28.7342
10.0,79,11.0,30.875,enth22,29.4862
10.0,79,11.0,30.938,enth22,29.5592
10.0,79,10.0,30.812,enth22,29.4998
10.0,79,11.0,30.625,enth22,29.5311
10.0,79,11.0,30.875,enth22,29.6781
10.0,79,11.0,30.875,enth22,29.7783
10.0,79,11.0,31.25,enth22,30.135
10.0,79,11.0,31.188,enth22,30.0766
10.0,79,11.0,30.875,enth22,29.8815
10.0,79,11.0,30.875,enth22,30.0046
10.0,79,11.0,30.438,enth22,30.0766
10.0,79,11.0,31.125,enth22,30.0317
10.0,79,11.0,31.25,enth22,30.0317
10.0,79,11.0,31.438,enth22,30.0182
11.0,63,10.0,33.625,enth07,28.33
11.0,69,10.0,31.25,enth07,26.11
11.0,68,10.0,31.062,enth07,26.11
11.0,67,10.0,29.938,enth07,23.371101
11.0,66,10.0,31.312,enth07,23.739601
11.0,70,10.0,28.75,enth07,23.483253
11.0,70,10.0,30.875,enth07,23.397804
11.0,70,10.0,27.75,enth07,23.6955
11.0,70,10.0,28.312,enth07,23.7101
11.0,70,10.0,29.25,enth07,23.7966
11.0,70,11.0,31.125,enth07,23.7382
11.0,70,10.0,29.75,enth07,23.6516
11.0,70,10.0,29.812,enth07,23.635
11.0,72,10.0,28.375,enth07,23.4869
11.0,72,10.0,28.062,enth07,24.204239
11.0,72,10.0,28.875,enth07,23.3533
11.0,72,10.0,27.312,enth07,23.3398
11.0,72,10.0,28.938,enth07,24.361794
11.0,72,10.0,29.812,enth07,23.6955
11.0,72,10.0,29.5,enth07,24.105438
11.0,72,10.0,28.625,enth07,23.907837
11.0,72,10.0,28.812,enth07,24.0334
11.0,72,10.0,29.062,enth07,24.3286
10.0,72,11.0,32.062,enth07,28.33
10.0,72,11.0,33.188,enth07,28.33
10.0,76,11.0,32.875,enth07,28.89
10.0,76,11.0,32.875,enth07,28.33
10.0,76,11.0,33.438,enth07,28.33
10.0,76,11.0,32.75,enth07,28.33
10.0,75,10.0,31.438,enth07,27.22
11.0,75,10.0,30.25,enth07,23.2501
11.0,75,10.0,32.0,enth07,23.5317
11.0,75,10.0,30.875,enth07,23.4118
11.0,75,10.0,31.062,enth07,23.6183
11.0,75,10.0,30.312,enth07,23.4869
11.0,75,10.0,29.25,enth07,23.1781
10.0,75,10.0,28.5,enth07,23.2365
11.0,75,10.0,28.438,enth07,23.1781
11.0,75,10.0,30.0,enth07,23.2084
11.0,75,10.0,29.938,enth07,23.894485
11.0,75,10.0,29.938,enth07,23.894485
11.0,76,10.0,30.25,enth07,23.1051
11.0,76,10.0,29.938,enth07,23.2668
9.0,76,11.0,30.688,enth07,26.086823
9.0,76,11.0,31.75,enth07,25.8597
9.0,76,11.0,31.5,enth07,26.057449
9.0,76,11.0,31.062,enth07,25.9045
9.0,76,11.0,31.938,enth07,26.086823
9.0,76,11.0,32.188,enth07,25.9045
9.0,76,11.0,31.5,enth07,25.8461
9.0,76,11.0,33.125,enth07,25.97467
9.0,76,11.0,30.562,enth07,25.961319
9.0,76,11.0,30.312,enth07,25.902573
11.0,69,10.0,28.25,enth09,24.065384
11.0,69,10.0,27.75,enth09,23.923859
11.0,70,10.0,27.812,enth09,23.881134
11.0,70,11.0,27.562,enth09,23.979935
11.0,71,11.0,26.188,enth09,23.63813
11.0,73,11.0,28.5,enth09,24.036011
11.0,77,10.0,26.75,enth09,26.1
11.0,77,10.0,25.938,enth09,26.1
11.0,77,10.0,25.688,enth09,26.1
11.0,76,10.0,25.75,enth09,26.1
11.0,76,10.0,25.438,enth09,26.1
11.0,76,10.0,25.062,enth09,26.1
11.0,75,11.0,29.938,enth09,26.11
11.0,76,10.0,24.062,enth09,26.2
11.0,76,11.0,26.125,enth09,23.223
11.0,76,11.0,26.312,enth09,23.37
11.0,76,11.0,27.625,enth09,23.4733
11.0,76,11.0,27.938,enth09,23.6037
11.0,76,11.0,28.0,enth09,23.825058
11.0,76,11.0,28.0,enth09,23.6037
11.0,76,11.0,28.375,enth09,23.894485
9.0,78,10.0,27.688,enth01,24.16235733
10.0,78,10.0,28.438,enth01,24.70999908
10.0,78,10.0,28.938,enth01,26.76000023
10.0,78,10.0,29.562,enth01,26.76000023
10.0,76,10.0,28.75,enth01,24.335091
10.0,76,10.0,27.188,enth01,23.993286
10.0,76,10.0,27.812,enth01,23.979935
10.0,74,11.0,27.188,enth01,23.907837
10.0,74,11.0,27.375,enth01,24.006638
10.0,74,11.0,28.062,enth01,24.006638
10.0,74,10.0,29.312,enth01,24.022659
10.0,74,11.0,26.875,enth01,23.979935
10.0,74,10.0,25.875,enth01,24.105438
10.0,74,11.0,26.5,enth01,23.795685
10.0,74,10.0,27.625,enth01,23.923859
10.0,74,10.0,28.438,enth01,24.06372261
10.0,74,10.0,28.375,enth01,24.006638
10.0,74,10.0,26.5,enth01,24.049362
